Raw.file,Condition,Experiment,BioReplicate,TechReplicate,Age,IsotopeLabel,NameBioRep,NameTechRep
IMP150918_15-038b_1_run1_BC1_01_2948,K97,BC1-01,1,1,6,L,K97_1_6mth,K97_1_6mth_1
IMP150918_15-038b_1_run2_BC1_01_2949,K97,BC1-02,1,2,6,L,K97_1_6mth,K97_1_6mth_2
IMP150918_15-038b_2_run1_BC2_01_2951,NM,BC2-01,2,1,6,L,NM_1_6mth,NM_1_6mth_1
IMP150918_15-038b_2_run2_BC2_01_2952,NM,BC2-02,2,2,6,L,NM_1_6mth,NM_1_6mth_2
IMP150918_15-038b_3_run1_BC3_01_2954,K97,BC3-01,3,1,6,L,K97_2_6mth,K97_2_6mth_1
IMP150918_15-038b_3_run2_BC3_01_2955,K97,BC3-02,3,2,6,L,K97_2_6mth,K97_2_6mth_2
IMP150918_15-038b_4_run1_BC4_01_2957,NM,BC4-01,4,1,6,L,NM_2_6mth,NM_2_6mth_1
IMP150918_15-038b_4_run2_BC4_01_2958,NM,BC4-02,4,2,6,L,NM_2_6mth,NM_2_6mth_2
IMP150918_15-038b_5_run1_BC5_01_2960,K97,BC5-01,5,1,6,L,K97_3_6mth,K97_3_6mth_1
IMP150918_15-038b_5_run2_BC5_01_2961,K97,BC5-02,5,2,6,L,K97_3_6mth,K97_3_6mth_2
IMP150918_15-038b_6_run1_BC6_01_2963,NM,BC6-01,6,1,6,L,NM_3_6mth,NM_3_6mth_1
IMP150918_15-038b_6_run2_BC6_01_2964,NM,BC6-02,6,2,6,L,NM_3_6mth,NM_3_6mth_2
IMP160413_16-019_1K_1_RA5_01_498,K97,1K-1,7,1,24,L,K97_1_24mth,K97_1_24mth_1
IMP160413_16-019_1K_2_RA5_01_500,K97,1K-2,7,2,24,L,K97_1_24mth,K97_1_24mth_2
IMP160413_16-019_1NM_1_RA1_01_486,NM,1NM-1,8,1,24,L,NM_1_24mth,NM_1_24mth_1
IMP160413_16-019_1NM_2_RA1_01_487,NM,1NM-2,8,2,24,L,NM_1_24mth,NM_1_24mth_2
IMP160413_16-019_2K_1_RA6_01_502,K97,2K-1,9,1,24,L,K97_2_24mth,K97_2_24mth_1
IMP160413_16-019_2K_2_RA6_01_503,K97,2K-2,9,2,24,L,K97_2_24mth,K97_2_24mth_2
IMP160413_16-019_2NM_1_RA2_01_489,NM,2NM-1,10,1,24,L,NM_2_24mth,NM_2_24mth_1
IMP160413_16-019_2NM_2_RA2_01_490,NM,2NM-2,10,2,24,L,NM_2_24mth,NM_2_24mth_2
IMP160413_16-019_3K_1_RA7_01_505,K97,3K-1,11,1,24,L,K97_3_24mth,K97_3_24mth_1
IMP160413_16-019_3K_2_RA7_01_506,K97,3K-2,11,2,24,L,K97_3_24mth,K97_3_24mth_2
IMP160413_16-019_3NM_1_RA3_01_492,NM,3NM-1,12,1,24,L,NM_3_24mth,NM_3_24mth_1
IMP160413_16-019_3NM_2_RA3_01_493,NM,3NM-2,12,2,24,L,NM_3_24mth,NM_3_24mth_2
IMP160413_16-019_4K_1_RA8_01_508,K97,4K-1,13,1,24,L,K97_4_24mth,K97_4_24mth_1
IMP160413_16-019_4K_2_RA8_01_509,K97,4K-2,13,2,24,L,K97_4_24mth,K97_4_24mth_2
IMP160413_16-019_4NM_1_RA4_01_495,NM,4NM-1,14,1,24,L,NM_4_24mth,NM_4_24mth_1
IMP160413_16-019_4NM_2_RA4_01_496,NM,4NM-2,14,2,24,L,NM_4_24mth,NM_4_24mth_2